Ticker,RMSE,MAE,R2,MAPE,Epochs,Window,Status
RELIANCE.NS,46.26509152075562,38.717018205496466,0.8129111856052534,2.86509037622493,14,60,✅ SAVED
TCS.NS,214.8298657603803,158.69375675543873,0.7641664109636941,4.194996428340376,11,60,✅ SAVED
HDFCBANK.NS,18.80747805431651,15.659830657297858,0.9270299141283632,1.6899860358501975,28,60,✅ SAVED
ICICIBANK.NS,111.28160260737329,104.9506190773278,-0.7165011153831893,7.7530565767895565,15,60,❌ REJECTED
INFY.NS,54.5085765316067,43.487164088865015,0.8799837670280625,2.5597775877257947,35,60,✅ SAVED
BHARTIARTL.NS,368.75616372258145,351.57505930471126,-2.5316865462431393,19.088737899309248,25,90,❌ REJECTED
SBIN.NS,66.02477071571613,55.580658297322536,0.46726534654208507,6.358387704771433,18,60,❌ REJECTED
LICI.NS,16.590909592144218,13.51604769164714,0.7639594221636559,1.5391526826707167,39,60,✅ SAVED
HINDUNILVR.NS,38.92332758871099,30.528086201526722,0.947065262298795,1.2515510091423276,29,60,✅ SAVED
ITC.NS,15.8993101326652,13.485872372733736,0.7698662094909912,3.2585648350393925,25,60,✅ SAVED
LT.NS,306.2663937525631,282.1357839077789,-0.5336091613922289,7.65050922173649,12,90,❌ REJECTED
BAJFINANCE.NS,43.39783340288211,35.2597396292257,0.8827320150560924,3.876288604547963,24,60,✅ SAVED
AXISBANK.NS,40.81578414932996,31.979757335993348,0.7851626060440496,2.6843078118548758,19,60,✅ SAVED
ADANIENT.NS,122.81074660669249,97.0173292936326,0.831017461465654,3.9966174221623145,21,60,✅ SAVED
SUNPHARMA.NS,246.72761620933852,242.7331628509503,-8.685716103319457,14.058063105100068,33,90,❌ REJECTED
KOTAKBANK.NS,10.306089742343657,8.30073820741,0.8918240052470385,2.020889166304317,30,60,✅ SAVED
TITAN.NS,254.88053041244387,214.18064764796077,0.16581318414539326,5.839745430459136,14,90,❌ REJECTED
M&M.NS,549.1858559880003,500.38287021029373,-1.4915220445293613,15.378461678496672,11,90,❌ REJECTED
MARUTI.NS,966.8458926907912,738.8308594333292,0.7410198735608587,5.122497074157901,16,90,✅ SAVED
